trial,cars,stall,tick,score
1,32,9,541,76.72
1,32,7,542,76.72
1,32,7,543,76.72
1,32,7,544,76.75
1,32,10,545,76.72
1,32,4,546,76.75
1,32,4,547,76.75
1,32,2,548,76.78
1,32,7,549,76.78
1,32,8,550,76.78
1,32,11,551,76.78
1,32,4,552,76.78
1,32,4,553,76.81
1,32,7,554,76.81
1,32,4,555,76.84
1,32,5,556,76.84
1,32,8,557,76.84
1,32,1,558,76.88
1,32,8,559,76.88
1,32,5,560,76.88
1,32,8,561,76.88
1,32,6,562,76.88
1,32,4,563,76.91
1,32,7,564,76.91
1,32,10,565,76.91
1,32,3,566,76.91
1,32,4,567,76.94
1,32,3,568,76.97
1,32,10,569,76.94
1,32,7,570,76.94
1,32,11,571,76.94
1,32,4,572,76.94
1,32,4,573,76.97
1,32,5,574,76.97
1,32,10,575,76.97
1,32,9,576,76.97
1,32,11,577,76.94
1,32,5,578,76.94
1,32,8,579,76.94
1,32,9,580,76.94
1,32,13,581,76.91
1,32,8,582,76.91
1,32,8,583,76.91
1,32,7,584,76.91
1,32,9,585,76.91
1,32,6,586,76.91
1,32,9,587,76.91
1,32,6,588,76.91
1,32,7,589,76.91
1,32,5,590,76.91
1,32,11,591,76.91
1,32,8,592,76.91
1,32,7,593,76.91
1,32,8,594,76.91
1,32,7,595,76.91
1,32,2,596,76.94
1,32,6,597,76.94
1,32,5,598,76.94
1,32,9,599,76.94
1,32,7,600,76.94
1,32,8,601,76.94
1,32,8,602,76.94
1,32,9,603,76.94
1,32,5,604,76.94
1,32,6,605,76.94
1,32,9,606,76.94
1,32,10,607,76.91
1,32,2,608,76.94
1,32,4,609,76.97
1,32,3,610,77.0
1,32,3,611,77.0
1,32,3,612,77.03
1,32,6,613,77.03
1,32,8,614,77.03
1,32,7,615,77.03
1,32,0,616,77.06
1,32,5,617,77.09
1,32,7,618,77.09
1,32,7,619,77.09
1,32,5,620,77.09
1,32,7,621,77.09
1,32,1,622,77.13
1,32,8,623,77.13
1,32,7,624,77.13
1,32,7,625,77.13
1,32,3,626,77.16
1,32,4,627,77.19
1,32,3,628,77.19
1,32,6,629,77.19
1,32,4,630,77.22
1,32,5,631,77.22
1,32,7,632,77.22
1,32,9,633,77.22
1,32,4,634,77.25
1,32,4,635,77.25
1,32,3,636,77.28
1,32,6,637,77.28
1,32,3,638,77.31
